Rank,Name,Industry,Revenue ($ Mil),Revenue growth,number of Employees,Headquarters
1,Walmart,Retail,"611,289",6.7%,2100000,"Bentonville, Arkansas"
2,Amazon,Retail and cloud computing,"513,983",9.4%,1540000,"Seattle, Washington"
3,ExxonMobil,Petroleum industry,"413,680",44.8%,62000,"Spring, Texas"
4,Apple,Electronics industry,"394,328",7.8%,164000,"Cupertino, California"
5,UnitedHealth Group,Healthcare,"324,162",12.7%,400000,"Minnetonka, Minnesota"
6,CVS Health,Healthcare,"322,467",10.4%,259500,"Woonsocket, Rhode Island"
7,Berkshire Hathaway,Conglomerate,"302,089",9.4%,383000,"Omaha, Nebraska"
8,Alphabet,Technology and cloud computing,"282,836",9.8%,156000,"Mountain View, California"
9,McKesson Corporation,Health,"276,711",4.8%,48500,"Irving, Texas"
10,Chevron Corporation,Petroleum industry,"246,252",51.6%,43846,"San Ramon, California"
11,Cencora,Pharmacy wholesale,"238,587",11.5%,41500,"Chesterbrook, Pennsylvania"
12,Costco,Retail,"226,954",15.8%,304000,"Issaquah, Washington"
13,Microsoft,Technology and cloud computing,"198,270",18.0%,221000,"Redmond, Washington"
14,Cardinal Health,Healthcare,"181,364",11.6%,46035,"Dublin, Ohio"
15,Cigna,Health insurance,"180,516",3.7%,70231,"Bloomfield, Connecticut"
16,Marathon Petroleum,Petroleum industry,"180,012",27.6%,17800,"Findlay, Ohio"
17,Phillips 66,Petroleum industry,"175,702",53.0%,13000,"Houston, Texas"
18,Valero Energy,Petroleum industry,"171,189",58.0%,9743,"San Antonio, Texas"
19,Ford Motor Company,Automotive industry,"158,057",15.9%,173000,"Dearborn, Michigan"
20,The Home Depot,Retail,"157,403",4.1%,471600,"Atlanta, Georgia"
21,General Motors,Automotive industry,"156,735",23.4%,167000,"Detroit, Michigan"
22,Elevance Health,Healthcare,"156,595",13.0%,102200,"Indianapolis, Indiana"
23,JPMorgan Chase,Financial services,"154,792",21.7%,293723,"New York City, New York"
24,Kroger,Retail,"148,258",7.5%,430000,"Cincinnati, Ohio"
25,Centene,Healthcare,"144,547",14.7%,74300,"St. Louis, Missouri"
26,Verizon Communications,Telecommunications,"136,835",2.4%,117100,"New York City, New York"
27,Walgreens Boots Alliance,Pharmaceutical industry,"132,703",10.7%,262500,"Deerfield, Illinois"
28,Fannie Mae,Financials,"121,596",19.7%,8000,"Washington, D.C."
29,Comcast,Telecommunications,"121,427",4.3%,186000,"Philadelphia, Pennsylvania"
30,AT&T,Conglomerate and telecommunications,"120,741",28.5%,160700,"Dallas, Texas"
31,Meta Platforms,Technology,"116,609",1.1%,86482,"Menlo Park, California"
32,Bank of America,Financials,"115,053",22.6%,216823,"Charlotte, North Carolina"
33,Target Corporation,Retail,"109,120",2.9%,440000,"Minneapolis, Minnesota"
34,Dell Technologies,Technology,"102,301",4.4%,133000,"Round Rock, Texas"
35,Archer Daniels Midland,Food industry,"101,556",19.1%,41181,"Chicago, Illinois"
36,Citigroup,Financials,"101,078",26.6%,238104,"New York City, New York"
37,United Parcel Service,Transportation,"100,338",3.1%,404700,"Atlanta, Georgia"
38,Pfizer,Pharmaceutical industry,"100,330",23.4%,83000,"New York City, New York"
39,Lowe's,Retail,"97,059",0.8%,244500,"Mooresville, North Carolina"
40,Johnson & Johnson,Pharmaceutical industry,"94,943",1.2%,152700,"New Brunswick, New Jersey"
41,FedEx,Transportation,"93,512",11.4%,518249,"Memphis, Tennessee"
42,Humana,Health insurance,"92,870",11.8%,67100,"Louisville, Kentucky"
43,Energy Transfer Partners,Petroleum industry,"89,876",33.3%,12565,"Dallas, Texas"
44,State Farm,Financials,"89,328",8.6%,60519,"Bloomington, Illinois"
45,Freddie Mac,Financials,"86,717",31.6%,7819,"McLean, Virginia"
46,PepsiCo,Beverage,"86,859",8.7%,315000,"Purchase, New York"
47,Wells Fargo,Financials,"82,859",0.5%,238000,"San Francisco, California"
48,The Walt Disney Company,Media,"82,722",22.7%,195800,"Burbank, California"
49,ConocoPhillips,Petroleum industry,"82,156",69.9%,9500,"Houston, Texas"
50,Tesla,Automotive and energy,"81,462",51.4%,127855,"Austin, Texas"
51,Procter & Gamble,Consumer products manufacturing,"80,187",5.3%,106000,"Cincinnati, Ohio"
52,United States Postal Service,Logistics,"78,620",2.0%,576000,"Washington, D.C."
53,Albertsons,Retail,"77,650",8.0%,198650,"Boise, Idaho"
54,General Electric,Conglomerate,"76,555",3.2%,172000,"Boston, Massachusetts"
55,MetLife,Financials,"69,898",1.7%,45000,"New York City, New York"
56,Goldman Sachs,Financials,"68,711",5.7%,48500,"New York City, New York"
57,Sysco,Food service,"68,636",33.8%,70510,"Houston, Texas"
58,Bunge Limited,Food industry,"67,232",13.7%,23000,"White Plains, New York"
59,RTX Corporation,Conglomerate,"67,074",4.2%,182000,"Arlington County, Virginia"
60,Boeing,Aerospace and defense,"66,608",6.9%,156000,"Arlington County, Virginia"
61,StoneX Group,Financials,"66,036",55.3%,40002,"New York City, New York"
62,Lockheed Martin,Aerospace and defense,"65,984",1.6%,116000,"Bethesda, Maryland"
63,Morgan Stanley,Financials,"65,936",7.9%,82427,"New York City, New York"
64,Intel,Technology,"63,054",20.1%,131900,"Santa Clara, California"
65,HP,Technology,"62,983",0.8%,58000,"Palo Alto, California"
66,TD Synnex,Infotech,"62,344",97.2%,28500,"Clearwater, Florida"
67,IBM,Technology and cloud computing,"60,530",16.3%,303100,"Armonk, New York"
68,HCA Healthcare,Healthcare,"60,233",2.5%,250500,"Nashville, Tennessee"
69,Prudential Financial,Financials,"60,050",15.3%,39583,"Newark, New Jersey"
70,Caterpillar,Machinery,"59,427",16.6%,109100,"Deerfield, Illinois"
71,Merck & Co.,Pharmaceutical industry,"59,283",15.8%,68000,"Kenilworth, New Jersey"
72,World Fuel Services,Petroleum industry and logistics,"59,043",88.4%,5214,"Miami, Florida"
73,New York Life Insurance Company,Insurance,"58,445",14.2%,15050,"New York City, New York"
74,Enterprise Products,Petroleum industry,"58,186",42.6%,7300,"Houston, Texas"
75,AbbVie,Pharmaceutical industry,"58,054",3.3%,50000,"Lake Bluff, Illinois"
76,Plains All American Pipeline,Petroleum industry,"57,342",36.3%,4100,"Houston, Texas"
77,Dow Chemical Company,Chemical industry,"56,902",3.5%,37800,"Midland, Michigan"
78,AIG,Insurance,"56,437",8.4%,26200,"New York City, New York"
79,American Express,Financial,"55,625",27.3%,77300,"New York City, New York"
80,Publix,Retail,"54,942",13.5%,242000,"Lakeland, Florida"
81,Charter Communications,Telecommunications,"54,022",4.5%,101700,"Stamford, Connecticut"
82,Tyson Foods,Food processing,"53,282",13.2%,142000,"Springdale, Arkansas"
83,John Deere,Agriculture manufacturing,"52,577",19.4%,82239,"Moline, Illinois"
84,Cisco,Telecom hardware manufacturing,"51,557",3.5%,83300,"San Jose, California"
85,Nationwide Mutual Insurance Company,Financial,"51,450",8.6%,24791,"Columbus, Ohio"
86,Allstate,Insurance,"51,412",3.4%,54250,"Northfield Township, Cook County, Illinois"
87,Delta Air Lines,Airline,"50,582",69.2%,95000,"Atlanta, Georgia"
88,Liberty Mutual,Insurance,"49,956",3.6%,50000,"Boston, Massachusetts"
89,TJX,Retail,"49,936",2.9%,329000,"Framingham, Massachusetts"
90,Progressive Corporation,Insurance,"49,611",4.0%,55063,"Mayfield Village, Ohio"
91,American Airlines,Airline,"48,971",63.9%,129700,"Fort Worth, Texas"
92,CHS,Agriculture cooperative,"47,194",24.3%,10014,"Inver Grove Heights, Minnesota"
93,Performance Food Group,Food processing,"47,194",61.6%,34825,"Richmond, Virginia"
94,PBF Energy,Petroleum industry,"46,830",71.8%,3616,"Parsippany–Troy Hills, New Jersey"
95,Nike,Apparel,"46,710",4.9%,79100,"Beaverton, Oregon"
96,Best Buy,Retail,"46,298",10.6%,71100,"Richfield, Minnesota"
97,Bristol-Myers Squibb,Pharmaceutical industry,"46,159",0.5%,34300,"New York City, New York"
98,United Airlines,Airline,"44,955",82.5%,92795,"Chicago, Illinois"
99,Thermo Fisher Scientific,Laboratory instruments,"44,915",14.5%,130000,"Waltham, Massachusetts"
100,Qualcomm,Technology,"44,200",31.7%,51000,"San Diego, California"
